                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88466,                0.86821,                 1.1063,                0.74322,                0.87626,                 0.8404,                0.66188,                0.78456,                0.76404,                 1.0349,              0.0012687,              0.0012687,              0.0012687
                     36,                0.86746,                0.88718,                 1.1102,                0.77172,                0.81353,                0.83468,                0.66356,                0.80396,                0.76398,                 1.0571,               0.001264,               0.001264,               0.001264
                     37,                0.87408,                0.86781,                 1.1183,                0.78677,                0.76234,                 0.8385,                0.65636,                0.78876,                0.78043,                 1.0378,              0.0012592,              0.0012592,              0.0012592
                     38,                0.86869,                0.84066,                 1.0959,                0.73845,                 0.8506,                0.83803,                0.65827,                0.81198,                 0.7954,                 1.0541,              0.0012545,              0.0012545,              0.0012545
                     39,                0.86332,                0.86706,                 1.1029,                0.74453,                0.87146,                0.85508,                 0.6757,                0.77506,                0.75514,                 1.0377,              0.0012498,              0.0012498,              0.0012498
                     40,                0.85347,                0.82459,                 1.1033,                0.75346,                0.85246,                0.83806,                0.66234,                 0.7976,                0.73786,                 1.0418,              0.0012451,              0.0012451,              0.0012451
                     41,                0.86666,                0.86124,                 1.1117,                0.75843,                0.85328,                0.84757,                0.67242,                0.78517,                0.79437,                 1.0338,              0.0012404,              0.0012404,              0.0012404
                     42,                0.85097,                0.80742,                 1.0967,                0.75077,                0.84324,                0.83876,                0.66415,                0.78221,                0.74941,                 1.0418,              0.0012357,              0.0012357,              0.0012357
                     43,                0.85477,                0.82687,                 1.0953,                0.78501,                0.83782,                0.85517,                0.67887,                0.78195,                0.71643,                 1.0357,              0.0012309,              0.0012309,              0.0012309
                     44,                0.84466,                 0.8136,                 1.1009,                0.74449,                0.87047,                0.84314,                0.67192,                0.75166,                0.73912,                 1.0205,              0.0012262,              0.0012262,              0.0012262
                     45,                0.84416,                0.82881,                 1.0925,                 0.7666,                 0.8638,                0.85479,                0.68261,                0.78115,                0.70549,                 1.0309,              0.0012215,              0.0012215,              0.0012215
                     46,                0.83095,                0.80941,                  1.078,                 0.7547,                0.83549,                0.84646,                0.66952,                0.78295,                0.76036,                 1.0303,              0.0012168,              0.0012168,              0.0012168
                     47,                0.83397,                0.80011,                 1.0854,                0.74921,                0.88723,                 0.8516,                0.68222,                0.76262,                0.70944,                 1.0166,              0.0012121,              0.0012121,              0.0012121
                     48,                0.82155,                0.81539,                 1.0786,                0.77321,                0.83651,                0.83495,                0.66486,                0.77132,                0.73744,                 1.0219,              0.0012074,              0.0012074,              0.0012074
                     49,                 0.8424,                0.80748,                 1.0954,                0.77002,                0.83188,                0.83079,                0.65913,                 0.7758,                0.74677,                 1.0354,              0.0012026,              0.0012026,              0.0012026
                     50,                0.85009,                0.80746,                 1.0906,                0.75245,                0.87996,                0.84281,                0.66514,                0.77136,                 0.7268,                 1.0301,              0.0011979,              0.0011979,              0.0011979
                     51,                0.82853,                0.79564,                  1.083,                0.80327,                0.84213,                0.85399,                0.67434,                0.76701,                0.72595,                  1.023,              0.0011932,              0.0011932,              0.0011932
                     52,                0.83415,                 0.8075,                 1.0982,                0.76322,                0.79747,                0.82638,                0.64991,                 0.7918,                0.77613,                 1.0427,              0.0011885,              0.0011885,              0.0011885
                     53,                0.79201,                0.76843,                 1.0525,                0.78937,                 0.8534,                0.85821,                0.67979,                0.76356,                0.69256,                 1.0168,              0.0011838,              0.0011838,              0.0011838
                     54,                0.79722,                0.74849,                  1.066,                 0.7783,                0.83377,                0.82682,                0.66829,                0.74292,                0.70984,                 1.0166,              0.0011791,              0.0011791,              0.0011791
                     55,                 0.7953,                0.74715,                 1.0696,                0.76033,                0.83916,                0.84358,                0.67116,                0.77001,                0.70311,                 1.0349,              0.0011744,              0.0011744,              0.0011744
                     56,                0.80834,                0.80032,                  1.074,                0.73882,                0.86423,                0.83915,                0.67155,                0.77334,                0.71461,                 1.0346,              0.0011696,              0.0011696,              0.0011696
                     57,                0.81345,                0.78662,                  1.082,                 0.7442,                 0.8831,                0.85302,                0.68164,                0.74836,                0.71948,                  1.015,              0.0011649,              0.0011649,              0.0011649
                     58,                0.81413,                0.76004,                 1.0792,                0.76284,                0.84822,                0.84783,                0.68012,                0.75512,                 0.7181,                 1.0249,              0.0011602,              0.0011602,              0.0011602
                     59,                0.81202,                0.78348,                 1.0849,                0.75714,                0.85249,                0.84138,                0.67473,                0.76839,                0.70823,                 1.0253,              0.0011555,              0.0011555,              0.0011555
                     60,                0.79482,                0.76021,                 1.0643,                0.76967,                0.84774,                0.84695,                0.68417,                0.75343,                0.71465,                 1.0181,              0.0011508,              0.0011508,              0.0011508
